eventid, in-game event, function
256, EV_FIRSTBOSS, Triggers Cocoa1 boss fight.
257, EV_MEETFAIRY, Initial Ribbon encounter. Triggers Ribbon boss fight. Enables some entities to spawn (bouncing cats for instance)
258, EV_REACHMANA, 
259, EV_SECONDBOSS, 
260, EV_3RDBOSS, Triggers Ashuri1 boss fight. Does not recruit Ashuri. Is not required to trigger Ashuri2.
261, EV_1STRUMI, meet Rumi in town cutscene/starts chapter 1 and gives a donut and cake if viewed WARNING: moves you into area 5 to show Miru and warps you to a set location in area 5 at the end
262, EV_4THBOSS, Triggers Rita boss fight and recruits Rita.
263, EV_FAIRYBOSS, 
264, EV_FIRSTBOSSII, Triggers Cocoa2 boss fight if event 364 is flagged.
265, EV_PCBOSS, Triggers Cicini boss fight. Needs event 1016 to be in the same room. Warps Erina to area2 after the post-fight cutscene.
266, EV_VVVVVV, Triggers the system interior II endurance fight.
267, EV_PYBOSS, Triggers Shadow Pandora fight.
268, EV_HILLBOSS, Triggers Saya boss fight. Does not recruit Saya.
269, EV_MAIDBOSS, Triggers Syaro boss fight. There are a lot of requirements (events 265 357 and 341)
270, EV_REACHISLANDTOTOWER, 
271, EV_SNOWBOSS, Triggers Nieve boss fight. Enables event 272 and 390.
272, EV_SNOWBOSSII, Triggers Nixie boss fight if event 271 is flagged. Recruits Nieve and Nixie.
273, EV_SNOWRM, 
274, EV_PCTALKAFTERMAID, 
275, EV_MAIDTELEPORT, Unused. Triggers a cutscene that warps Erina where she already is.
276, EV_GOTORUMI, 
277, EV_SPIKE, Triggers a cutscene in which Erina steps back. Works only once.
278, EV_SEABOSS, Triggers Seana1 boss fight. Does not recruit Seana.
279, EV_AFTERVVVVVV, Cutscene after endurance fight in System Interior II.
280, EV_PCCALLBACK, 
281, EV_DJPC, Activates Warp Stones in-game. Event does not work if Rabi slippers or Air jump is on.
282, EV_FAIRYEXPLAIN, 
283, EV_CAVELORR, 
284, EV_FORESTBOSS, Triggers Aruraune boss fight and recruits Aruraune.
285, EV_CRYSTALBOSS, 
286, EV_CRYSTALOPENED, 
287, EV_CITYS1, 
288, EV_CITYS2, 
289, EV_SCBBOSS, Triggers Lilith1 boss fight. Does not recruit Lilith.
290, EV_BRIDGEBOSS, Triggers Vanilla boss fight. Recruits Vanilla.
291, EV_BRIDGEBOSSII, 
292, EV_3RDBOSSII, 
293, EV_BBUNNY, 
294, EV_DOUBLECAT, 
295, EV_FIREBOSS, Triggers Kotri3 boss fight (red form). Recruits Kotri.
296, EV_MAZEBOSS, Triggers Miriam boss fight. Recruits Miriam. Disables event 363.
297, EV_TELEPORT, 
298, EV_TELEPORT2, 
299, EV_GODOWN, 
300, EV_FIRSTPY, Cutscene where Erina takes a step back and Ribbon refuses she goes further. Does not work outside of prologue.
301, EV_NOLEFT, 
302, EV_SHOPOUT, Cutscene in which Erina sees the shop.
303, EV_EDFLAG, 
304, EV_LOOPED, 
307, EV_BUNNY2, Triggers UPRPRC fight in Starting forest. Warps Erina to eastern end of Western Coast (area1).
308, EV_HOSP1, 
309, EV_HOSPBACK, 
310, EV_HOSP2, 
311, EV_HOSP3, 
312, EV_HIGHWAY, 
313, EV_HIGHWAYBOSS, 
314, EV_FINALBOSSX, 
315, EV_RITA, 
316, EV_STG1, Triggers aerial fight with Lilith. Requires event 265 and 289 (Cicini and Lilith fight). Recruits Lilith and spawns you to starting location once she is beaten.
317, EV_NOMORESTG1, Prevents Erina from going further is event 316 has been flagged.
318, EV_GOLEM, 
319, EV_ALPHATEST, 
320, EV_BEFOREGOLEM, 
321, EV_MEETRITAP, Cutscene in which Erina sees Saya and Rita in ravine. Does not work outside of prologue.
322, EV_MEETFIRE, Triggers Kotri1 boss fight (green form) only if coming from the right. Is not required to trigger Kotri2.
323, EV_BUNNY2B, Triggers UPRPRC fight in beach. Allows use of Boost. Cutscene throws error message though.
324, EV_CATMINI, Triggers Chocolate boss fight. Recruits Chocolate. Does not work during prologue. Requires event 261.
325, EV_PRPRTEAM, 
326, EV_SEELAB, Cutscene when Erina is about to enter lab.
327, EV_INLAB, Cutscene at the entrance of lab.
328, EV_LASERLAB, Cutscene where Erina starts an alarm system in lab.
329, EV_CAVELAB, Cutscene where Cicini talks about her room being in the lab (when entering sliding power room).
330, EV_FINALLAB, 
331, EV_REDBOT, Triggers Mr. Big Box fight.
